Broj upisnog lista;Naziv kazalista;Telefon kazalista;Fax kazalista;Email kazalista;Zupanija;Grad;Adresa kazalista;Status kazalista;Web kazalista;Naziv osnivaca kazalista;Zupanija osnivaca;Grad osnivaca;Adresa osnivaca;Naziv pravne osobe;Zupanija pravne osobe;Grad pravne osobe;Adresa pravne osobe;Tel pravne osobe;Fax pravne osobe;Email pravne osobe;Broj akta o osnivanju;Datum osnivanja akta;Broj statuta;Datum statuta;Broj upisa u registar;Datum upisa u registar;Intendant ravnatelj;Broj akta o imenovanju;Datum imenovanja intendanta;Popis članova;Napomena;
KAZ-004/11;KAZALIŠTE VIROVITICA   ;033/ 721 330, 033/725220;;kazaliste.virovitica1234@gmail.com;Virovitičko-podravska;Virovitica;Trg Ljudevita Patačića 2;Ustanova;www.kazalistevirovitica.hr;Grad Virovitica i Virovitičko-podravska županija;Virovitičko-podravska;Virovitica;Trg kralja Zvonimira 1, Trg Ljudevita Patačića 1;;;;;;;;Klasa: 612-01/92-01/03, Ur.broj: 2189-01-01-92-1;27.2.1992. 0:00:00;URBRO: 2189-49/23-335;21.11.2023. 0:00:00;MBS 010031573, u Bjelovaru;12.7.2024. 0:00:00;Tomislav Pintarić;;29.2.2024. 0:00:00;Đurđica Aragović, VSS dipl. polit, pročelnica Ureda Gradonačelnika, 24.10.2023.,  Margareta Stanić, VSS, mag.oec., voditeljica računovodstvenih i općih poslova u Razvojnoj agenciji VTA, 24.10.2023.,  Kristijan Gostimir, VSS, prof. povijesti i geografije, ravnatelj Gimnazije Petra Preradovića u Virovitici, 24.10.2023.,  Ivan Obrovac, VSS, dipl. ing. poljoprivrede, voditelj Poljoprivredno prehrambenog sektora u tvrtki Brana d.o.o.,  9.11.2023.,  Kristijan Toplak, VSS, dipl. novinar, zamjenik Pročelnice Službe za opće poslove Župana i opće poslove Virovitičko-podravske županije, 9.11.2023.  Silvijo Švast, magistar neverbalnog teatra (mag.art) i magistar glume (mag. art), glumac  u Kazalištu, 17.11.2023.,  Goran Vučko, magistar kazališne umjetnosti, akademski glumac i lutkar, glumac u Kazalištu, 17.11.2023.;Izmjene: produženje mandata ravnatelja (stupa na dužnost 18. lipnja 2024.)  Prethodne izmjene: imenovanja članova Kazališnog vijeća, donošenje novog Statuta i upis u Trgovački sud,  član Kazališnog vijeća, Statut Kazališta Virovitica: pročišćeni tekst od 24.3.2020., izmjene i dopune Statuta: od 30.12.2010. (Klasa: 612-03/10-01-271) i Statutarna odluka o izmjenama i dopunama Statuta Kazališta Virovitica od 22.3. 2018. (suglasnost Gradskog Vijeća Grada Virovitice od 12.4. 2018., KLASA: 612-03/18-01/03).;
KAZ-002/5;GRADSKO KAZALIŠTE POŽEGA         ;034/ 273 161;034/ 312 247;tajnistvo@gkp.hr, ravnatelj@gkp.hr;Požeško-slavonska;Požega;Trg sv. Trojstva 20;Ustanova;www.gkp.hr;Grad Požega;Požeško-slavonska;Požega;Trg sv. Trojstva 1;;;;;;;;2177/01-3-94-1;7.10.1994. 0:00:00;213/02;9.10.2002. 0:00:00;broj upisa 1, rješenje US-135/94-2;23.12.1994. 0:00:00;Valentina Neferović;Rješenje o imenovanju od 20.2.2020. urbroj: 2177/01-02/01-17-1;30.6.2017. 0:00:00;Matej Begić, predsjednik, VSS inž. šumarstva (Grad Požega, 25.9.2019.)  Goran Peić, potpredsjednik, VŠS, inž. odjevne tehnologije (Grad Požega),  Dražen Muljević, SSS, tehnička (Grad Požega),  Marija Matijanić, SSS (GKP)  Dario HAK, SSS (GKP)    ;Izmjena: imenovanje ravnateljice, imenovanje predsjednika Kazališnog vijeća i novog člana (GKP).     Statut usklađen sa Zakonom o kazalištima: svibanj 2007.  Upis u sudski registar: broj upisa 1, Rješenje Tt-15/6966-2.;
KAZ-145;Umjetnička organizacija Kazališna družina "Ivana Brlić-Mažuranić";098/1818 221;;dk-ibm@dk-ibm.hr;Brodsko-posavska;Slavonski Brod;Trg Stjepana Miletića 12;Umjetnička organizacija;;Darija Vlajnić, Branko Banković;Brodsko-posavska;Slavonski Brod;I. G. Kovačića 56, Slavonski Brod, Brune Bušića 26, Zagreb;;;;;;;;;29.5.2012. 0:00:00;;29.5.2012. 0:00:00;317;24.9.2012. 0:00:00;Darija Vlajnić;Klasaa: UP/I-612-01/12-01/0028;24.9.2012. 0:00:00;;;
KAZ-147;Kazališno-koncertna dvorana "Ivana Brlić Mažuranić" Slavonski Brod;035/492 595;;kkd-ibm@kkd-ibm.hr;Brodsko-posavska;Slavonski Brod;Trg Stjepana Miletića 12;Ustanova;;Grad Slavonski Brod;Brodsko-posavska;Slavonski Brod;Vukovarska bb;;;;;;;;Odluka ratnog Predsjedništva Skupštine općine Slavonski Brod;27.12.1991. 0:00:00;Klasa: 610-01/13-01/27;17.4.2013. 0:00:00;Tt-96/177-2;8.7.1996. 0:00:00;Hrvoje Špicer;Klasa: 612-05/10-01/3, Rješenje Gradskog vijeća Slavonskog Broda;20.1.2010. 0:00:00;Upravno vijeće (Odluka gradonačelnika: Klasa: 053-01/13-01/70. od 23. 7. 2013.)  Nataša Buntić, SSS, crtač detaljist,   Vesna Đurić, VSS, magistra primarnog obrazovanja,  Dejan Smajić, SSS, strojarski tehničar,  Marta Luc Polanc, VSS, diplomirani pravnik,   Stanislav Hudi, SSS, automatičar.  ;Ispunjava uvjete čl. 5 Zakona o kazalištima (KAZALIŠNA KUĆA).;
KAZ-225;Kazališna družina Irida;095/379 1234;;lucija.mikas@hotmail.com;Zadarska;Sveti Filip i Jakov;Petra Zoranića 11;Umjetnička organizacija;;Lucija Mikas, Anđela Bugarija;Zadarska;Sveti Filip i Jakov;Petra Zoranića 11, Sveti Filip i Jakov, Jadanska cesta 97, Bibinje;Umjetnička organizacija Irida;Zadarska;Sveti Filip i Jakov;Petra Zoranića 11;;;;;1.9.2019. 0:00:00;;1.9.2019. 0:00:00;489;23.10.2019. 0:00:00;Lucija Mikas;KLASA:UP/I-612-01/19-01/0032;23.10.2019. 0:00:00;;;
KAZ-258;Kazališna družina Glazbeno-scenski studio ARIJA    ;095/9100556;;arija.nelasaric@gmail.com;Zadarska;Zadar;Božidara Adžije 6;Umjetnička organizacija;;Nela Šarić, Tomislav Košta;Zadarska;Zadar;Božidara Adžije 6;Umjetnička organizacija Glazbeno-scenski studio ARIJA;Zadarska;Zadar;Božidara Adžije 6;;;arija.nelasaric@gmail.com;;20.7.2022. 0:00:00;;20.7.2022. 0:00:00;578;2.8.2022. 0:00:00;Nela Šarić;KLASA: UP/I-611-09/22-01/0026;2.8.2022. 0:00:00;;Kazališna družina Glazbeno-scenski studio ARIJA je posebna ustrojstvena jedinica u sklopu Umjetničke organizacija Glazbeno-scenski studio ARIJA.  Odgovorna osoba i ravnateljica Kazališne družine je Nela Šarić.;
KAZ-037/2;Hrvatsko narodno kazalište Zadar;023/ 314 586;023/ 314 590;hnk@hnk-zadar.hr;Zadarska;Zadar;Široka ulica 8;Ustanova;www.hnk-zadar.hr;Grad Zadar;Zadarska;Zadar;Narodni trg 1;;;;;;;;Klasa: 612-01/92-01/07, Ur.broj: 2198-01-92-1, odluka Skupštine općine Zadar;22.4.1992. 0:00:00;Zaključak Gradskog vijeća Grada Zadra o davanju suglasnosti, KLASA: 024-01/18-01/08;9.10.2018. 0:00:00;MBS 060164583, Trgovački sud Zadar;10.12.2009. 0:00:00;Renato Švorinić, dipl. oecc;Klasa: 080-01/19-01/02, Odluka Gradskog vijeća Grada Zadra;29.1.2019. 0:00:00;Živko Nižić, prof. dr.sc.  Marijana Bakmaz, prof.  Jasna Ančić, dramska umjetnica  (Odluka o imenovanju članova Kazališnog vijeća HNK Zadar, Klasa: 080-08/20-01/09, od 14.7.2020.)  Žana Bumber, dramska umjetnica  John Čolak, kazališni zaposlenik  (Odluka 24-02/20, od 14.7.2020.)      ;Promjene:  imenovanje intendanta, članovi Kazališnog vijeća, Statut,   .Odluka Gradskog vijeća o promjeni naziva ustanove-19.11.2009., Odluka Kazališnog vijeća o izmjeni Statuta kazališta-25.11.2009. Rješenje Trgovačkog suda Zadar o promjeni naziva ustanove -10.12.2009.  ;
KAZ-074/7;KAZALIŠTE LUTAKA ZADAR;023/ 319 181;023/ 311 122;klz@klz.hr;Zadarska;Zadar;Sokolska 1;Ustanova;;Zadarska županija;Zadarska;Zadar;B. Petranovića 8;;;;;;;;Odluka Skupštine općine Zadar broj: 01-4121/58;11.5.1958. 0:00:00;Klasa: 612-05/06-01, Urbroj: 2198/1-03-08-57;12.3.2008. 0:00:00;Tt-08/468-3,Tt-09/304-3;4.6.2009. 0:00:00;Iris Pavić-Tumpa;Klasa: UP/I-080-1/13-01/1;30.1.2013. 0:00:00;Tomislav Marijan Bilosnić, predsjednik, VSS, humanističke znanosti, književnik, umirovljenik   Smiljana Zrilić, prof. dr. sc. odgojnih znanosti (28.7. 2016.)  Juraj Aras, SSS gimnazija, glumac-lutkar,  Mate Petričević, SSS elektrotehničar, majstor tona,  4.4.2014.  Nensi Segarić, mr.sc. sociologije (10.11.2017.);Izmjene: član Kazališnog vijeća  statut (klasa: 612-01/01-01/01, od 28. 11. 2013., klasa: 612-05/13-01/11, od 21. 2. 2014., Županijska skupština Zadarske županije),      ;
KAZ-099;Umjetnička organizacija "Dragon teatar";;;dragontheatre@gmail.com;Zadarska;Zadar;Katarine Zrinski 1c (kod Domjan);Umjetnička organizacija;;Maja Šimić, Csilla Barath Bastaić;Zadarska;Zadar;Katarine Zrinski 1c (kod Domjan), Zadar, Livadićeva 21, Zagreb;;;;;;;;Odluka;15.11.2010. 0:00:00;;15.11.2010. 0:00:00;273;23.11.2010. 0:00:00;Maja Šimić;Klasa: UP/i-612-01/10-01/0027;23.11.2010. 0:00:00;;;
KAZ-126;Teatar "Teatro VeRRdi";023/ 305 303;023/ 305 303;jurearas@gmail.com;Zadarska;Zadar;Ulica dr. Franje Tuđmana 46;Umjetnička organizacija;;Stanislava Nikolić Aras, Danijel Franov;Zadarska;Zadar;Ulica dr. Franje Tuđmana 46, Zadar, Ulica 3, br. 38, Kukljica;;;;;;;;Odluka;14.7.2001. 0:00:00;;14.7.2001. 0:00:00;133;26.11.2002. 0:00:00;Stanislava Nikolić Aras;UP/I-612-01/07-01/0028;21.11.2007. 0:00:00;;Izmjene: statut (30.10.2007.), odgovorna osoba (21.11. 2007.).;
KAZ-280/1;Umjetnička organizacija Kazališna družina Do zvijezda/Ad astra;+385997006760;;kazalisteadastra@gmail.com;Osječko-baranjska;Beli Manastir;Kralja Tomislava 2;Umjetnička organizacija;;Daniela Taslidžić Herman, Zoran Herman;Osječko-baranjska;Beli Manastir;Kralja Tomislava 2;;;;;;;;;2.4.2024. 0:00:00;;2.4.2024. 0:00:00;624;8.5.2024. 0:00:00;Daniela Taslidžić Herman;KLASA: UP/I-611-09/24-01/0013;8.5.2024. 0:00:00;;;
KAZ-025/5;Dječje kazalište Branka Mihaljevića u Osijeku   ;031/ 501 485, 031/ 501 487;031/ 501 488;ravnatelj@djecje-kazaliste.hr;Osječko-baranjska;Osijek;Trg bana Josipa Jelačića 19;Ustanova;www.djecje-kazaliste.hr;Grad Osijek;Osječko-baranjska;Osijek;Kuhačeva 9;;;;;;;;07-3028/1-1958;23.4.1958. 0:00:00;KLASA: 007-01/22-02/1;11.3.2022. 0:00:00;Tt-95/143-2, MBS 030001302, Trgovački sud u Osijeku;28.8.1995. 0:00:00;Ivica Lučić;Klasa: UP/I-602-02/21-01/1;10.3.2021. 0:00:00;Ivana Šojat, SSS, urednica kazališnih izdanja-prevoditeljica u HNK u Osijeku (imenovana Rješenjem Gradskog vijeća Grada Osijeka 29.11.2021.),  Željko Mamić, VSS, viši savjetnik za društvene djelatnosti u Općini Čepin i ravnatelj Centra za kulturu Čepin (imenovan Rješenjem Gradskog vijeća Grada Osijeka 5.4.2023.),  Oktavija Flanjak, VSS, učiteljica razredne nastave (imenovana Rješenjem Gradskog vijeća Grada Osijeka 5.4.2023.),  Dražen Golubić, SSS, voditelj tehnike u DK Branka Mihaljevića u Osijeku (izabran u ime svih zaposlenika 17.11.2021.),  Gordan Marijanović, VSS, glumac-lutkar III. grupe (izabran u ime svih zaposlenika 17.11.2021.).;Izmjene: dva člana Kazališnog vijeća, izmjene i dopune Statuta od 9.5.2023.     Prethodne izmjene: imenovanje  ravnatelja (stupa na snagu 20.3.2022.), članovi Kazališnog vijeća, donošenje novog Statuta (suglasnost 22.3.2022.).    - izmjene statuta (5.11.2013., 21.7. 2014., 7.3. 2018.), donošenje Statuta: 4.6.2007.    -Rješenjem Ministarstva kulture i prosvjete (KLASA:023-03/94-01-106. od 22.2. 1994.) , osnivačka prava nad Kazalištem prenesena su na Grad Osijek. ;
KAZ-033/10;Hrvatsko narodno kazalište u Osijeku;031/ 220 733;;ured.intendanta@hnk-osijek.hr;Osječko-baranjska;Osijek;Županijska 9;Ustanova;www.hnk-osijek.hr;Grad Osijek;Osječko-baranjska;Osijek;Franje Kuhača 9;;;;;;;;;22.2.1994. 0:00:00;;5.7.2023. 0:00:00;MBS: 030001191, RBU 0001 Tt-95/194-2;10.7.1995. 0:00:00;Vladimir Ham;;7.7.2022. 0:00:00;Anto Đapić, VSS, dipl. iur., imenovan Rješenjem Gradskog vijeća Grada Osijeka od 31.3. 2023., predsjednik Kazališnog vijeća,  Damir Šebo, VSS, doc. dr.sc., 31.3.2023., zamjenik predsjednika Kazališnog vijeća, 31.3.2023.,  Ivan Čačić,VSS, magistar kazališne umjetnosti-akademski glumac i lutkar, 17.10.2023.,   Slobodan Cvetičanin, VSS, dipl. solo pjevač i dipl. teoretičar pedagog, 17.10.2023.,  Ivan Kristijan Majić, dipl. teatrolog, 29.12.2023.  ;Izmjene: Odluka o donošenju Statuta (KLASA: 007-01/23-01/3 od 5.7.2023.), imenovanje člana Kazališnog vijeća.  Prethodne izmjene: imenovanje intendanta (potvrda ministrice od 7.7.2022., početak mandata 2.4.2023.), imenovanje članova Kazališnog vijeća.  Odluka o prihvaćanju prijenosa osnivačkih prava s Osječko-baranjske županije nad HNK u Osijeku na Grad Osijek od 20.9.2022. te ispravka tehničke pogreške u Odluci od 1.12.2022. (izmijenjen osnivački akt u cijelosti). ;
KAZ-035;Umjetnička organizacija "Teatar 054";095/510 26 43, 098/978 53 61;;teatar054@gmail.com;Osječko-baranjska;Osijek;Frankopanska 72;Umjetnička organizacija;;Sanja Dodig, Petra Cicvarić;Osječko-baranjska;Osijek;Ljudevita Posavskog 47, Frankopanska 72; ;;;;;;;Odluka;11.10.2010. 0:00:00;;11.10.2010. 0:00:00;271;3.11.2010. 0:00:00;Sanja Dodig;Klasa: UP/i-612-01/10-01/0024;3.11.2010. 0:00:00;;;
KAZ-060/2;Kazališna družina "Putujuće kazalište";098/ 91 94 269;;kd.putujuce.kazaliste1@gmail.com;Osječko-baranjska;Osijek;Ivana Adamovića 4;Umjetnička organizacija;;Zorica Petnjarić-Kalić, Bjanka Kalić;Osječko-baranjska;Osijek;Ivana Adamovića 4, Osijek, Drinska 10k, Osijek;;;;;;;;;8.4.1999. 0:00:00;;8.4.1999. 0:00:00;57;3.5.1999. 0:00:00;Zorica Petnjarić-Kalić;KLASA: UP/I-612-01/99-01-10;3.5.1999. 0:00:00;;Rješenjem MK od 30. 6. 2017. upis prijenosa osnivačkih prava (umjesto Dunje Ilakovac-Hercog upisuje se Bjanka Kalić).  Upis nove adrese sjedišta u. o. ;
KAZ-161/1;"Teatar to go";092/3019016;;teatar.to.go@gmail.com;Osječko-baranjska;Osijek;Solarski trg 6;Umjetnička organizacija;;Andrea Giordani, Dalija Dozet, Goran Smoljanović;Osječko-baranjska;Osijek;Sjenjak 5, Osijek, H.C. Hotzendorfa 16, Osijek, Lj. Babića 31, Bjelovar;;;;;;;;Odluka;1.9.2014. 0:00:00;;1.9.2014. 0:00:00;373;10.9.2014. 0:00:00;Goran Smoljanović;UP/I-612-01/14-01/0025;10.9.2014. 0:00:00;;Izmjene: Statut, Odluka o promjeni osoba ovlaštenih za zastupanje, djelatnosti i izmjeni Statuta, 30.10.2015.,  Osobe ovlaštene za zastupanje: Andrea Giordani, Dalija Dozet, Goran Smoljanović (Rješenje MK: UP/I-612-01/14-01/0025, od 11. 12. 2015.),  djelatnost: kazališna i audiovizualna;
KAZ-231;Umjetnička organizacija Kazališna družina Teatar Fort Forno  ;091/2064425;;jasminka.mesaric@gmail.com;Istarska;Bale;Trg La Musa 2;Umjetnička organizacija;https://teatarfortforno.org/;Jasminka Mesarić, Robert Raponja;Osječko-baranjska;Osijek;;;;;;;;;;16.1.2020. 0:00:00;;16.1.2020. 0:00:00;495;10.2.2020. 0:00:00;Jasminka Mesarić;KLASA: UP/I-612-01/20-01/0005;10.2.2020. 0:00:00;;;
KAZ-094;"Pierre Vally Teatar";091/8932733;;pierre.vally.teatar@gmail.com;Grad Zagreb;Grad Zagreb;Črnomerečki potok 18;Umjetnička organizacija;;Davor Kovač, Jadran Grubišić;Osječko-baranjska;Osijek;Ulica kneza Trpimira 4, Osijek, Bosanska 12, Osijek, ;;;;;;;;Odluka;19.4.2010. 0:00:00;Statut;19.4.2010. 0:00:00;261;24.5.2010. 0:00:00;Davor Kovač;UP/I-612-01/10-01/0012;24.5.2010. 0:00:00;;;
KAZ-291;Kazališna družina "TAHT";091/559 4199, 091/212 0748;;glumacimavremena@gmail.com;Šibensko-kninska;Šibenik;Miminac 1;Umjetnička organizacija;;Leon Lučev, Jelena Graovac Lučev;Šibensko-kninska;Šibenik;;Umjetnička organizacija "GlumacImaVremena, GlumicaImaVremena/TAHT";Šibensko-kninska;Šibenik;Miminac 1;;;;;22.8.2024. 0:00:00;;22.8.2024. 0:00:00;633;27.8.2024. 0:00:00;Jelena Graovac Lučev;;27.8.2024. 0:00:00;;Kazališna družina "TAHT" je posebna ustrojstvena jedinica u sklopu Umjetničke organizacije "GlumacImaVremena, GlumicaImaVremena/TAHT". Ravnateljica Kazališne družine je Jelena Graovac Lučev. Odgovorna osoba Umjetničke organizacije je Leon Lučev. ;
KAZ-018/10;Hrvatsko narodno kazalište u Šibeniku;022/ 213 145;022/ 212 134;tajnistvo@hnksi.hr;Šibensko-kninska;Šibenik;Kralja Zvonimira 1;Ustanova;www.hnksi.hr;Grad Šibenik;Šibensko-kninska;Šibenik;Trg branitelja Domovinskog rata 1;;;;;;;;Klasa: 612-01710-01/2, urbroj: 2182/01-05-10-2;15.10.2010. 0:00:00;45S/2010;15.10.2010. 0:00:00;Tt-11/94-2;25.1.2011. 0:00:00;Jakov Bilić;Klasa: 112-01/01/18-01/36;12.9.2018. 0:00:00;Anđela Fržop, VSS, računovođa, 20.12.2021.,  Valentino Celić Dražić, VSS, djelatnik u Interpretacijskom centru, 20.12.2021.,  Marko Međušić, umirovljenik, 20.12.2021.,  Franka Klarić, VSS, glumica, 16.6.2018.,  Frane Celić, VŠS, voditelj tehničke službe, 20.12.2021.    ;Izmjene: imenovanje ravnatelja i članova Kazališnog vijeća  Prethodno: Odluka o izmjeni  i dopuni Statuta, suglasnost: KLASA: 012-03/18-01/02, od 30.5.2018.  Odluka o izmjeni i dopuni Odluke o osnivanju kazališta - Hrvatsko narodno kazalište u Šibeniku (Klasa: 612-01/11-01/34, od 25.11. 2011.),  Statutarna odluka o izmjeni i dopuni Statuta (broj: 13-8/2011., od 29.11. 2011.), statutarnost (Klasa: 012-03/11-01/02, od 25. 11. 2011.),  Odluka o izmjeni Odluke o osnivanju kazališta - Hrvatsko narodno kazalište u Šibeniku, Klasa: 612-01/13-01/42, od 22.11. 2013., Statutarna odluka o izmjeni i dopuni Statuta (Klasa: 012-03/13-01/7 , od 22.11. 2013., broj i datum upisa kazališta u sudski ili drugi registar: Tt-11/94-2 od 25.1. 2011. , Statutarna odluka o izmjeni i dopuni Statuta (Klasa: 012-03/13-01/7, od 22. 11.2013.).;
KAZ-041/4;Gradsko kazalište "Joza Ivakić" Vinkovci;032/ 338 752;;andricvladimir@gmail.com;Vukovarsko-srijemska;Vinkovci;Hrvatskih žrtava 2;Ustanova;www.kazaliste-vinkovci.hr;Grad Vinkovci;Vukovarsko-srijemska;Vinkovci;Bana Jelačića 1;;;;;;;;Klasa: 612-01/98-01/16, Ur.broj: 2188/01-01-98-2;27.10.1998. 0:00:00;Klasa: 612-0307-01/02, Ur.broj: 2188/01-01-06-3;24.7.2007. 0:00:00;030063334;29.1.1999. 0:00:00;Vladimir Andrić;;13.12.2023. 0:00:00;Marko Sabljaković, VSS, ravnatelj Kulturnog centra grada Vinkovaca (16.8.2022.),   dr.sc. Anica Bilić, znanstvenica u trajnom zvanju, Upraviteljica centra za znanstveni rad u Vinkovcima (16.8.2022.),   Saša Dević, VSS, direktor ROP-a (16.8.2022.),  Matea Marušić, VSS, glumica (14.9.2022.),  Josipa Mišić, VŠS, viši referent (14.9.2022.).   ;Izmjena: imenovanje ravnatelja i članova Kazališnog vijeća.  Prethodne izmjene: izmjene i dopune Statuta (Klasa: 612-01/14.01/09, 25.3. 2014.),  imenovanje ravnatelja, u sudski registar Trgovačkog suda uveden novi ravnatelj 22.7. 2014. , reg. uložak s MBS 030063334.;
KAZ-296;Kazališna družina TIK;+385 98269 284;;zdenko@teatarigre.hr;Vukovarsko-srijemska;Vinkovci;Ulica Matije Gupca 20;;;Zdenko Rečić;Vukovarsko-srijemska;Vinkovci;;Udruga Teatar igre;Vukovarsko-srijemska;Vinkovci;Ulica Matije Gupca 20;;;;KLASA: UP/I-230-03/24-02/467;30.10.2024. 0:00:00;KLASA: UP/I-230-03/24-02/467;30.10.2024. 0:00:00;;30.10.2024. 0:00:00;Zdenko Rečić;;28.11.2024. 0:00:00;;Kazališna družina TIK je posebna ustrojstvena jedinica u sklopu udruge Teatar igre. Zdenko Rečić je ravnatelj Kazališne družine, osnivač i odgovorna osoba udruge Teatar igre. ;
KAZ-065/1;Kazališna družina "Asser Savus";032/ 354 492;032/ 354 492;himzo.nuhanovic@gmail.com;Vukovarsko-srijemska;Vinkovci;Kralja Tvrtka Kotromanića 14;Umjetnička organizacija;;Himzo Nuhanović i Gordan Nuhanović;Vukovarsko-srijemska;Vinkovci;Kralja Tvrtka Kotromanića 14 (Vinkovci), Pelinovačka 41 (Zagreb);;;;;;;;;5.6.1999. 0:00:00;;5.6.1999. 0:00:00;Reg. broj 60;25.8.1999. 0:00:00;Himzo Nuhanović;Rješenje Ministarstva kulture Klasa: UP/I-612-01/99-01-16;25.8.1999. 0:00:00;;27.9.2010.  upis izmjene u Očevidnik temeljem Rješenja MK UP/I-612-01/99-01-16/07, 17.9.2010. (prijenos osnivačkih prava s preminulog g. Vanje Dracha na Gordana Nuhanovića), kao i Rješenjem UP/I-612-01/99-01-16/05 ,¸15.6.2010. - upis novog zamjenika umjetničkog voditelja - Gordan Nuhanović. ;
KAZ-190;Kazališna družina "Scena Martin";032/450697, 099/227737;;dragimartine@gmail.com;Vukovarsko-srijemska;Vukovar;J. J. Strossmayera 20;Ustanova;;Grad Vukovar;Vukovarsko-srijemska;Vukovar;J. J. Strossmayera 20;Javna ustanova u kulturi Hrvatski dom Vukovar;Vukovarsko-srijemska;Vukovar;J. J. Strossmayera 20;;;;Odluka Gradskog vijeća Grada Vukovara;22.2.2017. 0:00:00;2196/01-JT-3/14-2017;9.2.2017. 0:00:00;Tt-16/9227-4;12.1.2017. 0:00:00;Ivanka Miličić;URBROJ: 2196/01-JT-3/22-2017;3.3.2017. 0:00:00;Upravno vijeće javne ustanove u kulturi Hrvatski dom Vukovar:  Zdenka Buljan, VSS, umirovljenik  Josip Prpa, VSS, umirovljenik  Anita Rapan Papeša, VSS, magistar arheologije  (Rješenje o imenovanju članova Upravnog vijeća Javne ustanove u kulturi Hrvatski dom Vukovar: KLASA: 612-03/17-01/4, OD 31. kolovoza 2017. godine).  Dalibor Jurišić, VSS ,prof. hrvatskog jezika i književnosti  Matej Nadovski, SSS, elektrotehničar   (Zapisnik, od 18. 7. 2017.).;Kazališna družina "Scena Martin" osnovana je kao zasebna ustrojstvena jedinica u sklopu Javne ustanove u kulturi Hrvatski dom Vukovar.    Dalibor Jurišić - prof. hrvatskog jezika i književnosti - predstojnik ustrojstvene jedinice Kazališna družina "Scena Martin".;
KAZ-250/1;Umjetnička organizacija Kazališna družina Iglu               ;099/747 4612;;kazalisnadruzinaiglu@gmail.com;Vukovarsko-srijemska;Županja;Lavoslava Ružičke 22;Umjetnička organizacija;;Katarina Šestić Baotić, Josipa Oršolić;Vukovarsko-srijemska;Županja;;;;;;;;;;11.10.2021. 0:00:00;;13.10.2021. 0:00:00;556;22.10.2021. 0:00:00;Katarina Šestić Baotić;KLASA: UP/I-612-01/21-01/0038;22.10.2021. 0:00:00;;;
KAZ-245;Gradsko kazalište Mali princ Omiš            ;021/559400 , 091/796 57 47;;ustanova@czk-omis.hr;Splitsko-dalmatinska;Omiš;Glagoljaška 11;Ustanova;http:// czk-omis.hr;Grad Omiš;Splitsko-dalmatinska;Omiš;Trg kralja Tomislava 5;Centar za kulturu Omiš;Splitsko-dalmatinska;Omiš;Punta 1;;;;KLASA: 612-01/20-01/08;23.12.2020. 0:00:00;KLASA: 612-01/20-01/08;23.12.2020. 0:00:00;OV-05/21;9.2.2021. 0:00:00;Petar Buljević;KLASA: 612-01/19-01/05;30.7.2019. 0:00:00;Jelena Staničić-Marasović, dipl. oec., VSS, marketing kazališta, 23.12.2020.  Miho Dolina, SSS, oblikovatelj svjetla i tona, 23.12.2020.  Zorica Muše, dipl. kiparica, VSS, scenograf kazališta, 23.12.2020.  Ivan Perić, dipl. redatelj, VSS, 23.12.2020.  Marko Duvnjak, dramski umjetnik, VSS, 23.12.2020.     ;Gradsko kazalište Mali princ Omiš osnovano je kao posebna ustrojstvena jedinica unutar Centra za kulturu Omiš.  Upravno vijeće Centra ima funkciju Kazališnog vijeća.;
